hr,sent_num
97,P
92,N
91,N
91,N
92,N
92,N
88,N
88,N
86,N
86,N
87,N
87,N
87,N
87,N
87,N
87,N
87,N
98,P
99,P
99,P
97,P
93,P
91,P
91,P
91,P
98,P
99,P
101,P
100,P
100,P
98,P
100,P
98,P
97,P
86,P
84,P
84,P
86,P
86,P
85,P
85,P
86,P
86,P
91,P
90,P
90,P
90,P
90,P
94,N
94,N
93,N
93,N
95,P
95,P
95,P
95,P
96,P
95,P
95,P
95,P
91,P
92,P
93,P
94,P
94,P
94,P
118,P
120,P
118,P
116,P
118,P
119,P
118,P
116,P
118,P
113,P
113,P
113,P
113,P
95,N
95,N
95,N
95,N
95,N
101,P
101,P
96,P
94,P
94,P
96,P
96,P
96,P
98,P
97,P
97,N
97,N
97,N
97,N
96,N
89,P
87,P
87,P
86,P
85,P
85,P
97,P
97,P
97,P
101,P
99,P
100,P
91,P
97,P
98,P
100,P
97,P
97,P
86,P
85,P
85,P
85,P
85,P
94,P
106,P
103,P
99,P
98,P
98,P
80,P
81,P
81,P
81,P
120,P
121,P
119,P
116,P
117,P
116,P
119,P
121,P
86,P
86,P
85,P
85,P
85,P
85,P
89,P
88,P
88,P
88,P
88,P
88,P
88,P
88,P
88,P
89,P
91,P
90,P
90,P
90,P
83,P
86,P
86,P
86,P
86,P
84,P
84,P
83,P
89,P
94,P
94,P
93,P
82,P
81,P
82,P
82,P
82,P
77,P
88,N
87,N
87,N
85,N
84,N
85,N
82,N
82,N
85,P
84,P
84,P
85,P
86,P
87,P
89,P
89,P
80,P
80,P
80,P
80,P
88,P
91,P
92,P
91,P
92,P
92,P
93,P
102,N
101,N
99,N
98,N
98,N
99,N
106,P
106,P
105,P
74,P
76,P
75,P
97,N
97,N
97,N
88,N
87,N
86,N
96,P
95,P
95,P
95,P
95,P
111,P
111,P
110,P
110,P
108,P
108,P
88,P
89,P
89,P
89,P
90,P
94,N
94,N
94,N
94,N
94,P
94,P
94,P
93,P
93,P
95,P
92,P
92,P
92,P
96,N
96,N
96,N
95,N
93,N
93,N
91,P
92,P
92,P
91,P
86,P
86,P
86,P
85,P
85,P
84,P
83,P
83,P
83,P
83,P
89,P
88,P
88,P
88,P
88,P
104,P
104,P
104,P
104,P
98,P
98,P
98,P
98,P
87,P
85,P
85,P
85,P
86,P
86,P
84,N
85,N
85,N
85,N
89,P
89,P
89,P
89,P
89,P
77,P
77,P
77,P
77,P
77,P
112,P
112,P
111,P
111,P
96,P
96,P
96,P
93,P
94,P
94,P
97,P
97,P
99,P
99,P
99,P
98,P
95,P
95,P
96,P
96,P
96,P
96,P
95,P
96,P
96,P
96,P
96,P
83,P
83,P
85,P
82,P
82,P
83,P
84,P
85,P
85,P
85,P
85,P
85,P
85,P
85,P
85,P
87,P
93,P
94,P
90,P
90,P
90,P
83,N
83,N
83,N
86,N
128,N
88,P
90,P
89,P
90,P
91,P
87,P
87,P
87,P
89,P
90,P
93,P
95,P
97,P
93,P
92,P
91,P
93,P
93,P
93,P
92,P
92,P
92,P
93,P
106,N
108,N
111,N
112,N
111,N
111,N
110,N
107,N
108,P
109,P
110,P
109,P
108,P
106,P
103,P
99,N
99,N
99,N
99,N
99,N
98,N
98,N
98,N
89,N
89,N
88,N
90,N
91,N
93,N
95,N
96,N
95,N
92,N
85,P
86,P
85,P
90,P
92,P
91,P
84,P
84,P
84,P
85,P
88,P
91,P
92,N
92,N
92,N
92,N
93,N
83,N
84,N
82,N
81,N
81,N
82,N
80,P
81,P
83,P
85,P
88,P
90,P
105,P
105,P
103,P
102,P
103,P
105,P
103,N
101,N
100,N
102,N
101,N
101,N
108,P
108,P
107,P
107,P
106,P
96,P
96,P
96,P
95,P
93,P
93,P
89,P
87,P
87,P
87,N
87,N
87,N
88,N
89,N
95,N
95,N
95,N
95,N
94,N
94,N
94,N
93,N
92,N
92,N
91,P
91,P
91,P
91,P
92,P
80,P
83,P
83,P
87,P
88,P
88,P
89,P
95,P
94,P
93,P
93,P
97,P
96,P
110,P
108,P
108,P
107,P
106,P
106,P
101,P
100,P
101,P
103,P
104,P
103,P
105,P
102,P
102,P
94,P
94,P
94,P
94,P
92,P
94,P
95,P
96,P
99,P
100,P
96,P
95,P
94,P
96,P
99,P
101,P
80,P
81,P
82,P
82,P
81,P
95,P
95,P
95,P
96,P
96,P
95,P
87,P
88,P
88,P
82,P
82,P
92,P
91,P
91,P
92,P
92,P
94,P
94,P
93,P
93,P
90,P
90,P
95,P
95,P
96,P
96,P
96,P
78,P
77,P
77,P
77,P
77,P
83,P
82,P
82,P
83,P
83,P
82,P
95,P
95,P
94,P
90,P
90,P
89,P
89,P
105,P
105,P
105,P
105,P
94,P
