hr,steps,gsr,calories,temp,sent_num
99.0,0,5.5115100000000004e-05,2.2,86.0,N
94.0,0,5.5115100000000004e-05,2.1,86.0,N
92.0,0,6.689659999999999e-05,2.0,86.0,P
98.0,0,5.5115100000000004e-05,2.5,86.9,P
83.0,0,5.5115100000000004e-05,1.6,84.2,P
82.0,0,5.5728599999999994e-05,1.5,86.9,P
102.0,0,5.72925e-05,2.5,90.5,P
93.0,0,5.69762e-05,2.0,89.6,P
93.0,0,5.85751e-05,2.0,90.5,N
84.0,0,5.79302e-05,1.6,89.6,P
85.0,0,0.0120278,1.7,88.7,P
92.0,0,9.80094e-05,1.9,83.3,P
83.0,0,5.76104e-05,1.6,88.7,P
96.0,0,5.82517e-05,2.2,89.6,P
91.0,0,5.72925e-05,1.9,89.6,P
90.0,0,5.69762e-05,1.8,88.7,P
102.0,0,8.255620000000001e-05,2.5,88.7,P
109.0,95,5.72925e-05,3.1,88.7,P
96.0,0,5.72925e-05,2.1,89.6,N
93.0,0,5.85751e-05,2.0,88.7,N
92.0,0,5.6349e-05,1.8,88.7,P
106.0,7,7.22866e-05,2.7,87.8,P
107.0,0,5.76104e-05,2.5,87.8,N
96.0,0,0.000186256,2.2,86.9,P
96.0,0,6.471149999999999e-05,2.2,89.6,P
98.0,0,5.66617e-05,2.1,88.7,N
104.0,0,5.60379e-05,2.7,87.8,N
106.0,0,5.66617e-05,2.6,89.6,P
98.0,0,5.72925e-05,2.2,90.5,P
92.0,0,6.29452e-05,1.9,90.5,P
89.0,0,5.98864e-05,1.9,86.0,P
79.0,0,0.00308211,1.6,81.5,P
92.0,0,0.000111316,2.0,88.7,P
84.0,0,8.11966e-05,1.6,88.7,P
80.0,17,0.000152607,1.7,88.7,N
94.0,0,0.000147622,2.1,89.6,P
97.0,0,7.39049e-05,1.9,88.7,P
98.0,0,0.000107679,2.2,89.6,P
89.0,0,7.81108e-05,1.7,88.7,P
74.0,0,9.85534e-05,1.5,88.7,N
94.0,0,6.22522e-05,2.0,88.7,N
